自动站点,日最大瞬时风力（m/s）,kph,经度,纬度,自动站号,代表街道
田头,12.3,44.3,114.408,22.689,G3731,石井
梧桐村,9.1,32.8,114.188,22.594,G1174,东湖
后瑞,10.7,38.5,113.83,22.631,G3575,航城
松岗,13.4,48.2,113.836,22.778,G3550,松岗
共和,12.3,44.3,113.798,22.755,G3781,沙井
观象台,11.0,39.6,113.932,22.685,59486,石岩
龙城,7.2,25.9,114.242,22.724,G3570,龙城
平湖,13.5,48.6,114.135,22.676,G3559,平湖
南山,12.0,43.2,113.919,22.519,G3555,南山
和平,11.7,42.1,113.788,22.694,G3746,福海
海山,16.1,58.0,114.232,22.557,G3578,海山
南头,8.6,31.0,113.914,22.557,G3546,南头
清水河,10.5,37.8,114.101,22.571,G3527,清水河
圳美,12.9,46.4,113.954,22.798,G3722,新湖
邮轮中心,13.6,49.0,113.897,22.476,G3585,招商
公明,13.1,47.2,113.891,22.782,G3529,公明
布吉,8.5,30.6,114.124,22.606,G1166,布吉
南澳,5.8,20.9,114.486,22.534,G3563,南澳
坪山,15.1,54.4,114.34,22.694,G3538,坪山
岗厦,13.3,47.9,114.046,22.534,G3773,福保
福城,9.6,34.6,114.029,22.733,G3783,福城
阿婆髻,12.2,43.9,113.882,22.692,G1132,玉塘
横岗,9.1,32.8,114.193,22.644,G3560,横岗
大磡,7.3,26.3,113.948,22.61,G3766,西丽
葵涌,17.4,62.6,114.426,22.635,G1163,葵涌
西部通道,9.0,32.4,113.939,22.491,G3641,蛇口
大鹏,13.9,50.0,114.469,22.6,G1162,大鹏
塘家,8.7,31.3,113.96,22.721,G3727,凤凰
观湖,9.1,32.8,114.075,22.7,G3543,观湖
南园,9.0,32.4,114.096,22.537,G3747,南园
光明,8.2,29.5,113.944,22.759,G3528,光明
清林径,7.3,26.3,114.238,22.765,G3564,龙岗
翠竹,12.3,44.3,114.133,22.558,G3577,翠竹
莲塘,9.4,33.8,114.171,22.561,G1173,莲塘
大康,8.5,30.6,114.233,22.646,G3554,园山
大冲,6.9,24.8,113.947,22.551,G3720,粤海
坑梓,15.2,54.7,114.366,22.746,G3537,坑梓
燕山,10.1,36.4,113.849,22.82,G3785,燕罗
铁岗水库,11.6,41.8,113.884,22.583,G3692,西乡
大学城,8.0,28.8,113.973,22.596,G3565,桃源
南湾,6.4,23.0,114.158,22.634,G3558,南湾
大浪,5.5,19.8,114.003,22.683,G3551,大浪
世界之窗,8.6,31.0,113.969,22.539,G3561,沙河
基本站,9.1,32.8,114.006,22.541,59493,香蜜湖
民治,8.1,29.2,114.029,22.622,G3553,民治
细靓北,3.6,13.0,114.08,22.626,G3739,吉华
小梅沙,15.0,54.0,114.302,22.602,G1125,梅沙
坪地,10.3,37.1,114.303,22.777,G3539,坪地
梅林水库,10.2,36.7,114.047,22.578,G3562,梅林
江岭,10.9,39.2,114.343,22.651,G3749,马峦
万丰,9.1,32.8,113.82,22.728,G3557,新桥
明珠,8.1,29.2,114.253,22.594,G3742,盐田
三棵松,8.2,29.5,114.308,22.712,G3508,宝龙
沙湖,10.7,38.5,114.3,22.669,G3753,碧岭
