自动站点,日最大瞬时风力（m/s）,kph,经度,纬度,自动站号,代表街道
田头,21.9,78.8,114.408,22.689,G3731,石井
梧桐村,22.3,80.3,114.188,22.594,G1174,东湖
后瑞,23.6,85.0,113.83,22.631,G3575,航城
松岗,23.8,85.7,113.836,22.778,G3550,松岗
共和,24.1,86.8,113.798,22.755,G3781,沙井
观象台,23.6,85.0,113.932,22.685,59486,石岩
龙城,21.8,78.5,114.242,22.724,G3570,龙城
平湖,21.8,78.5,114.135,22.676,G3559,平湖
南山,22.4,80.6,113.919,22.519,G3555,南山
和平,23.9,86.0,113.788,22.694,G3746,福海
海山,20.8,74.9,114.232,22.557,G3578,海山
南头,23.4,84.2,113.914,22.557,G3546,南头
清水河,21.5,77.4,114.101,22.571,G3527,清水河
圳美,23.6,85.0,113.954,22.798,G3722,新湖
邮轮中心,22.6,81.4,113.897,22.476,G3585,招商
公明,23.7,85.3,113.891,22.782,G3529,公明
布吉,22.2,79.9,114.124,22.606,G1166,布吉
南澳,23.2,83.5,114.486,22.534,G3563,南澳
坪山,21.7,78.1,114.34,22.694,G3538,坪山
岗厦,21.9,78.8,114.046,22.534,G3773,福保
福城,23.5,84.6,114.029,22.733,G3783,福城
阿婆髻,2.4,8.6,113.882,22.692,G1132,玉塘
横岗,22.4,80.6,114.193,22.644,G3560,横岗
大磡,23.1,83.2,113.948,22.61,G3766,西丽
葵涌,2.2,7.9,114.426,22.635,G1163,葵涌
西部通道,2.3,8.3,113.939,22.491,G3641,蛇口
大鹏,21.6,77.8,114.469,22.6,G1162,大鹏
塘家,24.3,87.5,113.96,22.721,G3727,凤凰
观湖,23.3,83.9,114.075,22.7,G3543,观湖
南园,2.2,7.9,114.096,22.537,G3747,南园
光明,23.6,85.0,113.944,22.759,G3528,光明
清林径,21.9,78.8,114.238,22.765,G3564,龙岗
翠竹,21.1,76.0,114.133,22.558,G3577,翠竹
莲塘,21.7,78.1,114.171,22.561,G1173,莲塘
大康,21.6,77.8,114.233,22.646,G3554,园山
大冲,23.8,85.7,113.947,22.551,G3720,粤海
坑梓,22.4,80.6,114.366,22.746,G3537,坑梓
燕山,23.8,85.7,113.849,22.81,G3785,燕罗
铁岗水库,23.2,83.5,113.884,22.583,G3692,西乡
大学城,22.6,81.4,113.973,22.596,G3565,桃源
南湾,22.4,80.6,114.158,22.634,G3558,南湾
大浪,2.3,8.3,114.003,22.683,G3551,大浪
世界之窗,22.9,82.4,113.969,22.539,G3561,沙河
基本站,0.0,0.0,114.006,22.541,59493,香蜜湖
民治,22.7,81.7,114.029,22.622,G3553,民治
细靓北,22.2,79.9,114.08,22.626,G3739,吉华
小梅沙,21.6,77.8,114.302,22.602,G1125,梅沙
坪地,21.5,77.4,114.303,22.777,G3539,坪地
梅林水库,22.5,81.0,114.047,22.578,G3562,梅林
江岭,2.2,7.9,114.343,22.651,G3749,马峦
万丰,24.4,87.8,113.82,22.728,G3557,新桥
明珠,2.1,7.6,114.253,22.594,G3742,盐田
三棵松,21.3,76.7,114.308,22.712,G3508,宝龙
沙湖,20.7,74.5,114.3,22.669,G3753,碧岭
